x,y,b1,b2,b3
3,1,-44,-60,-35
3,1,-44,-60,-35
3,1,-48,-60,-35
3,1,-48,-74,-35
3,1,-48,-74,-36
3,1,-58,-74,-36
3,1,-58,-60,-36
3,1,-58,-60,-34
3,1,-56,-60,-34
3,1,-56,-51,-34
3,1,-57,-51,-34
3,1,-57,-56,-34
3,1,-57,-56,-35
3,1,-57,-57,-35
3,1,-57,-57,-37
3,1,-57,-47,-37
3,1,-69,-47,-37
3,1,-69,-43,-37
3,1,-49,-60,-58
3,1,-47,-60,-58
3,1,-47,-55,-58
3,1,-51,-55,-58
3,1,-51,-55,-49
3,1,-51,-70,-49
3,1,-51,-70,-66
3,1,-51,-51,-66
3,1,-64,-51,-66
3,1,-64,-51,-58
3,1,-64,-74,-58
3,1,-49,-74,-58
3,1,-49,-74,-53
3,1,-49,-58,-53
3,1,-56,-58,-53
3,1,-56,-58,-52
3,1,-56,-59,-52
3,1,-64,-59,-52
3,1,-64,-59,-47
3,1,-64,-59,-47
3,1,-61,-59,-47
3,1,-61,-59,-54
3,1,-61,-45,-54
3,1,-67,-45,-54
3,1,-67,-63,-54
3,1,-68,-63,-54
3,1,-68,-63,-49
3,1,-68,-56,-49
3,1,-58,-56,-49
3,1,-58,-56,-47
3,1,-58,-38,-47
3,1,-64,-38,-47
3,1,-64,-38,-55
3,1,-64,-50,-55
3,1,-72,-50,-55
3,1,-72,-50,-43
3,1,-72,-55,-43
3,1,-72,-55,-54
3,1,-72,-55,-42
3,1,-72,-54,-42
3,1,-72,-54,-56
3,1,-72,-54,-44
3,1,-72,-55,-44
3,1,-72,-55,-55
3,1,-68,-55,-55
3,1,-68,-55,-60
3,1,-68,-36,-60
3,1,-69,-36,-60
3,1,-69,-48,-60
3,1,-72,-48,-60
3,1,-72,-40,-60
3,1,-75,-40,-60
3,1,-75,-40,-59
3,1,-75,-37,-59
3,1,-86,-37,-59
3,1,-86,-37,-59
3,1,-86,-51,-59
3,1,-79,-51,-59
3,1,-79,-51,-56
3,1,-79,-57,-56
3,1,-79,-57,-73
3,1,-72,-57,-73
3,1,-72,-34,-73
3,1,-72,-34,-71
3,1,-89,-34,-71
3,1,-89,-56,-71
3,1,-89,-56,-51
3,1,-78,-56,-51
3,1,-78,-44,-51
3,1,-78,-44,-51
3,1,-78,-44,-51
3,1,-78,-40,-51
3,1,-78,-40,-71
3,1,-61,-40,-71
3,1,-61,-58,-71
3,1,-61,-58,-51
3,1,-72,-58,-51
3,1,-72,-53,-51
3,1,-72,-65,-51
3,1,-72,-65,-59
3,1,-72,-35,-59
3,1,-64,-35,-59
3,1,-64,-52,-59
3,1,-75,-52,-59
3,1,-75,-58,-59
3,1,-75,-58,-66
3,1,-79,-58,-66
3,1,-79,-49,-66
3,1,-79,-49,-64
3,1,-83,-49,-64
3,1,-83,-49,-44
3,1,-83,-54,-44
3,1,-57,-54,-44
3,1,-57,-54,-62
3,1,-57,-58,-62
3,1,-76,-58,-62
3,1,-82,-58,-62
3,1,-82,-45,-62
3,1,-82,-59,-62
3,1,-86,-59,-62
3,1,-86,-59,-64
3,1,-86,-54,-64
3,1,-71,-54,-64
3,1,-71,-54,-79
3,1,-71,-53,-79
3,1,-61,-53,-79
3,1,-61,-53,-64
3,1,-61,-54,-64
3,1,-61,-54,-57
3,1,-61,-53,-57
3,1,-92,-53,-57
3,1,-92,-53,-53
3,1,-92,-53,-53
3,1,-73,-53,-53
3,1,-73,-54,-53
3,1,-79,-54,-53
3,1,-79,-54,-67
3,1,-79,-38,-67
3,1,-79,-38,-75
3,1,-79,-44,-75
3,1,-79,-44,-60
3,1,-79,-55,-60
3,1,-63,-55,-60
3,1,-63,-55,-68
3,1,-63,-41,-68
3,1,-63,-41,-52
3,1,-63,-52,-52
3,1,-79,-52,-52
3,1,-79,-52,-63
3,1,-79,-52,-63
3,1,-76,-52,-63
3,1,-76,-52,-69
3,1,-76,-58,-69
3,1,-83,-58,-69
3,1,-83,-58,-65
3,1,-83,-41,-65
3,1,-83,-41,-66
3,1,-83,-56,-66
3,1,-83,-56,-66
3,1,-83,-56,-48
3,1,-83,-51,-48
3,1,-83,-51,-46
3,1,-83,-51,-46
3,1,-78,-51,-46
3,1,-78,-45,-46
3,1,-63,-45,-46
3,1,-63,-45,-57
3,1,-75,-45,-57
3,1,-75,-45,-51
3,1,-75,-51,-51
3,1,-86,-51,-51
3,1,-86,-38,-51
3,1,-65,-38,-51
3,1,-65,-38,-48
3,1,-65,-59,-48
3,1,-68,-59,-48
3,1,-68,-57,-48
3,1,-69,-57,-48
3,1,-62,-57,-48
3,1,-62,-57,-67
3,1,-62,-62,-67
3,1,-62,-62,-63
3,1,-62,-65,-63
3,1,-69,-65,-63
3,1,-69,-65,-42
3,1,-69,-57,-42
3,1,-53,-57,-42
3,1,-53,-57,-64
3,1,-53,-58,-64
3,1,-63,-58,-64
3,1,-63,-58,-66
3,1,-63,-46,-66
3,1,-54,-46,-66
3,1,-54,-46,-55
3,1,-54,-61,-55
3,1,-61,-61,-55
3,1,-61,-74,-55
3,1,-72,-74,-55
3,1,-72,-74,-39
3,1,-72,-59,-39
3,1,-62,-59,-39
3,1,-57,-59,-39
3,1,-57,-59,-57
3,1,-57,-72,-57
3,1,-57,-72,-41
3,1,-57,-62,-41
3,1,-57,-62,-40
3,1,-51,-62,-40
3,1,-51,-62,-56
3,1,-51,-49,-56
3,1,-75,-49,-56
3,1,-75,-49,-45
3,1,-75,-49,-48
3,1,-75,-70,-48
3,1,-72,-70,-48
3,1,-72,-66,-48
3,1,-60,-66,-48
3,1,-60,-66,-44
3,1,-60,-66,-61
3,1,-60,-42,-61
3,1,-64,-42,-61
3,1,-64,-42,-46
3,1,-64,-50,-46
3,1,-59,-50,-46
3,1,-59,-50,-56
3,1,-69,-50,-56
3,1,-69,-50,-66
3,1,-69,-68,-66
3,1,-71,-68,-66
3,1,-71,-68,-74
3,1,-71,-52,-74
3,1,-60,-52,-74
3,1,-60,-64,-74
3,1,-60,-64,-54
3,1,-65,-64,-54
3,1,-65,-64,-48
3,1,-65,-66,-48
3,1,-48,-66,-48
3,1,-48,-66,-64
3,1,-48,-44,-64
3,1,-48,-65,-64
3,1,-64,-65,-64
3,1,-71,-65,-64
3,1,-71,-65,-57
3,1,-71,-45,-57
3,1,-68,-45,-57
3,1,-68,-45,-48
3,1,-68,-59,-48
3,1,-66,-59,-48
3,1,-66,-59,-44
3,1,-65,-59,-44
3,1,-65,-59,-59
3,1,-65,-57,-59
3,1,-54,-57,-59
3,1,-54,-57,-46
3,1,-54,-60,-46
3,1,-53,-60,-46
3,1,-53,-60,-45
3,1,-53,-59,-45
3,1,-69,-59,-45
3,1,-69,-59,-42
3,1,-69,-57,-42
3,1,-69,-57,-55
3,1,-69,-55,-55
3,1,-70,-55,-55
3,1,-70,-59,-55
3,1,-54,-59,-55
3,1,-53,-59,-55
3,1,-53,-59,-47
3,1,-53,-56,-47
3,1,-53,-56,-47
3,1,-53,-56,-54
3,1,-53,-42,-54
3,1,-67,-42,-54
3,1,-67,-42,-55
3,1,-67,-51,-55
3,1,-53,-51,-55
3,1,-53,-51,-40
3,1,-53,-55,-40
3,1,-67,-55,-40
3,1,-67,-57,-40
3,1,-67,-57,-49
3,1,-67,-53,-49
3,1,-69,-53,-49
3,1,-69,-53,-53
3,1,-69,-55,-53
3,1,-51,-55,-53
3,1,-51,-55,-58
3,1,-51,-48,-58
3,1,-52,-48,-58
3,1,-52,-48,-40
3,1,-52,-48,-63
3,1,-68,-48,-63
3,1,-68,-48,-54
