dist,rssi
100,-51
100,-58
100,-58
100,-51
100,-58
100,-58
100,-51
100,-69
100,-51
100,-69
100,-51
100,-52
100,-68
100,-58
100,-69
100,-58
100,-51
100,-58
100,-51
100,-69
100,-52
100,-58
100,-58
100,-69
100,-52
100,-58
100,-52
100,-58
100,-51
100,-58
100,-58
100,-58
100,-58
100,-69
100,-58
100,-52
100,-58
100,-69
100,-51
100,-69
100,-58
100,-69
100,-51
100,-69
100,-51
100,-58
100,-58
100,-69
100,-58
100,-52
100,-69
100,-58
100,-58
100,-69
100,-58
100,-69
100,-69
100,-58
100,-69
100,-66
100,-58
100,-51
100,-69
100,-51
100,-68
100,-58
100,-58
100,-69
100,-52
100,-58
100,-68
100,-58
100,-68
100,-52
100,-52
100,-69
100,-51
100,-58
100,-58
100,-52
100,-57
100,-51
100,-52
100,-70
100,-51
100,-69
100,-51
100,-58
100,-51
100,-68
100,-58
100,-52
100,-58
100,-52
100,-58
100,-52
100,-58
100,-58
100,-52
100,-69
100,-58
100,-51
100,-69
100,-51
100,-69
100,-58
100,-52
100,-58
100,-52
100,-58
100,-58
100,-51
100,-58
100,-51
100,-58
100,-51
100,-69
100,-52
100,-52
100,-58
100,-51
100,-69
100,-58
100,-57
100,-69
100,-52
100,-52
100,-67
100,-51
100,-57
100,-68
100,-69
100,-51
100,-69
100,-58
100,-69
100,-51
100,-58
100,-58
100,-69
100,-57
100,-69
100,-51
100,-70
100,-57
100,-70
100,-52
100,-58
100,-69
100,-58
100,-69
100,-58
100,-52
100,-58
100,-69
100,-52
100,-52
100,-58
100,-69
100,-58
100,-58
100,-52
100,-58
100,-51
100,-58
100,-51
100,-70
100,-51
100,-58
100,-52
100,-58
100,-53
100,-70
100,-58
100,-51
100,-51
100,-70
100,-52
100,-69
100,-58
100,-69
100,-52
100,-69
100,-53
100,-58
100,-52
100,-68
100,-51
100,-58
100,-51
100,-58
100,-69
100,-58
100,-69
100,-52
100,-68
100,-68
100,-51
100,-69
100,-52
100,-69
100,-58
100,-69
100,-51
100,-52
100,-69
100,-59
100,-69
100,-58
100,-69
100,-52
100,-58
100,-53
100,-58
100,-59
100,-68
100,-58
100,-70
100,-57
100,-51
100,-57
100,-67
100,-69
100,-51
100,-58
100,-69
100,-58
100,-68
100,-69
100,-57
100,-69
100,-57
100,-69
100,-58
100,-69
100,-57
100,-68
100,-51
100,-58
100,-52
100,-58
100,-69
100,-58
100,-68
100,-58
100,-52
100,-69
100,-69
100,-58
100,-53
100,-65
100,-59
100,-57
100,-74
100,-59
100,-63
100,-61
100,-64
100,-59
100,-64
100,-64
100,-54
100,-61
100,-69
100,-72
100,-68
100,-57
100,-72
100,-58
100,-72
100,-58
100,-73
100,-73
100,-64
100,-70
100,-57
100,-65
100,-64
100,-58
100,-69
100,-58
100,-64
100,-69
100,-65
100,-58
100,-64
100,-58
100,-69
100,-58
100,-58
100,-64
100,-70
100,-65
100,-69
100,-57
100,-57
100,-57
100,-69
100,-64
100,-69
100,-64
100,-58
100,-58
100,-64
100,-58
100,-64
100,-57
100,-65
100,-64
100,-64
100,-57
100,-69
100,-58
100,-64
100,-69
100,-64
100,-58
100,-64
100,-69
100,-58
100,-70
100,-57
100,-64
100,-57
100,-64
100,-58
100,-69
100,-68
100,-65
100,-65
100,-57
100,-64
100,-58
100,-64
100,-69
100,-57
100,-64
100,-58
100,-69
100,-57
100,-64
100,-58
100,-69
100,-57
100,-69
100,-57
100,-64
100,-58
100,-69
100,-69
100,-64
100,-58
100,-68
100,-69
100,-57
100,-69
100,-58
100,-64
100,-57
100,-64
100,-58
100,-64
100,-65
100,-58
100,-64
100,-65
100,-58
100,-70
100,-57
100,-57
100,-57
100,-69
100,-66
100,-81
100,-65
100,-62
100,-56
100,-59
100,-58
100,-63
100,-58
100,-65
100,-57
100,-64
100,-61
100,-60
100,-60
100,-64
100,-56
100,-66
100,-58
100,-72
100,-57
100,-61
100,-55
100,-69
100,-66
100,-61
100,-55
100,-70
100,-53
100,-65
100,-65
100,-66
100,-60
100,-54
100,-63
100,-54
100,-69
100,-55
100,-54
100,-75
100,-62
100,-72
100,-60
100,-60
100,-71
100,-61
100,-69
100,-54
100,-71
100,-60
100,-61
100,-54
100,-60
100,-60
100,-54
100,-60
100,-54
100,-59
100,-54
100,-54
100,-60
100,-54
100,-60
100,-78
100,-60
100,-54
100,-53
100,-59
100,-54
100,-83
100,-59
100,-84
100,-54
100,-82
100,-59
100,-59
100,-81
150,-61
150,-61
150,-63
150,-60
150,-60
150,-59
150,-69
150,-61
150,-69
150,-62
150,-59
150,-65
150,-58
150,-65
150,-63
150,-66
150,-59
150,-65
150,-57
150,-58
150,-64
150,-57
150,-62
150,-58
150,-57
150,-61
150,-59
150,-53
150,-55
150,-60
150,-57
150,-57
150,-66
150,-58
150,-74
150,-56
150,-56
150,-70
150,-56
150,-86
150,-56
150,-56
150,-56
150,-62
150,-57
150,-56
150,-60
150,-62
150,-58
150,-67
150,-71
150,-72
150,-59
150,-57
150,-67
150,-73
150,-57
150,-71
150,-56
150,-59
150,-69
150,-57
150,-67
150,-56
150,-56
150,-77
150,-57
150,-56
150,-58
150,-75
150,-59
150,-57
150,-57
150,-90
150,-83
150,-59
150,-73
150,-58
150,-75
150,-56
150,-57
150,-57
150,-81
150,-57
150,-72
150,-57
150,-68
150,-56
150,-66
150,-55
150,-60
150,-56
150,-67
150,-56
150,-78
150,-67
150,-74
150,-57
150,-57
150,-56
150,-57
150,-58
150,-58
150,-69
150,-55
150,-58
150,-72
150,-67
150,-54
150,-62
150,-56
150,-61
150,-76
150,-56
150,-57
150,-57
150,-79
150,-67
150,-58
150,-68
150,-84
150,-57
150,-66
150,-61
150,-56
150,-62
150,-54
150,-63
150,-56
150,-63
150,-68
150,-61
150,-61
150,-58
150,-69
150,-60
150,-66
150,-56
150,-57
150,-59
150,-58
150,-55
150,-70
150,-72
150,-56
150,-56
150,-57
150,-57
150,-57
150,-57
150,-59
150,-55
150,-56
150,-60
150,-66
150,-56
150,-57
150,-56
150,-79
150,-85
150,-71
150,-59
150,-56
150,-59
150,-60
150,-56
150,-61
150,-56
150,-60
150,-60
150,-56
150,-84
150,-61
150,-59
150,-74
150,-55
150,-61
150,-56
150,-61
150,-58
150,-56
150,-80
150,-56
150,-57
150,-74
150,-60
150,-57
150,-58
150,-56
150,-79
150,-56
150,-73
150,-57
150,-59
150,-73
150,-56
150,-72
150,-56
150,-57
150,-68
150,-56
150,-60
150,-56
150,-57
150,-79
150,-76
150,-57
150,-57
150,-73
150,-57
150,-72
150,-71
150,-58
150,-57
150,-76
150,-57
150,-77
150,-57
150,-58
150,-57
150,-78
150,-56
150,-56
150,-56
150,-73
150,-58
150,-62
150,-59
150,-57
150,-84
150,-56
150,-70
150,-56
150,-72
150,-60
150,-72
150,-59
150,-57
150,-56
150,-78
150,-59
150,-59
150,-58
150,-68
150,-59
150,-67
150,-58
150,-62
150,-55
150,-65
150,-70
150,-56
150,-59
150,-59
150,-68
150,-58
150,-65
150,-56
150,-65
150,-61
150,-57
150,-67
150,-59
150,-58
150,-61
150,-68
150,-58
150,-76
150,-59
150,-73
150,-58
150,-57
150,-60
150,-58
