x,y,11,12,13
2,2,-44,-57,-60
2,2,-44,-61,-60
2,2,-40,-61,-60
2,2,-40,-57,-60
2,2,-40,-56,-60
2,2,-40,-56,-45
2,2,-55,-56,-45
2,2,-55,-61,-45
2,2,-55,-61,-50
2,2,-59,-61,-50
2,2,-59,-61,-60
2,2,-40,-61,-60
2,2,-40,-61,-60
2,2,-40,-61,-64
2,2,-40,-56,-64
2,2,-40,-56,-61
2,2,-55,-56,-61
2,2,-59,-56,-61
2,2,-59,-57,-61
2,2,-59,-57,-45
2,2,-55,-57,-45
2,2,-55,-47,-45
2,2,-55,-47,-61
2,2,-45,-47,-61
2,2,-45,-47,-60
2,2,-45,-47,-60
2,2,-45,-61,-60
2,2,-55,-61,-60
2,2,-55,-41,-60
2,2,-55,-41,-50
2,2,-41,-41,-50
2,2,-41,-43,-50
2,2,-41,-57,-50
2,2,-41,-57,-63
2,2,-46,-57,-63
2,2,-46,-58,-63
2,2,-54,-58,-63
2,2,-54,-61,-63
2,2,-54,-61,-61
2,2,-59,-61,-61
2,2,-59,-61,-63
2,2,-55,-61,-63
2,2,-55,-61,-63
2,2,-55,-61,-59
2,2,-44,-61,-59
2,2,-44,-61,-50
2,2,-41,-61,-50
2,2,-41,-47,-50
2,2,-41,-43,-50
2,2,-41,-43,-63
2,2,-55,-43,-63
2,2,-55,-42,-63
2,2,-45,-42,-63
2,2,-45,-43,-63
2,2,-59,-43,-63
2,2,-59,-56,-63
2,2,-40,-56,-63
2,2,-59,-56,-63
2,2,-59,-43,-63
2,2,-54,-43,-63
2,2,-44,-43,-63
2,2,-44,-43,-45
2,2,-44,-41,-45
2,2,-41,-41,-45
2,2,-41,-41,-45
2,2,-41,-44,-45
2,2,-45,-44,-45
2,2,-45,-56,-45
2,2,-59,-56,-45
2,2,-59,-56,-45
2,2,-59,-47,-45
2,2,-59,-47,-46
2,2,-59,-41,-46
2,2,-59,-41,-46
2,2,-59,-41,-60
2,2,-55,-41,-60
2,2,-55,-41,-60
2,2,-55,-43,-60
2,2,-59,-43,-60
2,2,-59,-43,-45
2,2,-59,-56,-45
2,2,-55,-56,-45
2,2,-55,-56,-50
2,2,-55,-47,-50
2,2,-59,-47,-50
2,2,-54,-47,-50
2,2,-54,-47,-64
2,2,-59,-47,-64
2,2,-59,-47,-60
2,2,-59,-61,-60
2,2,-55,-61,-60
2,2,-55,-61,-45
2,2,-55,-41,-45
2,2,-59,-41,-45
2,2,-59,-41,-63
2,2,-59,-43,-63
2,2,-45,-43,-63
2,2,-45,-41,-63
2,2,-45,-41,-60
2,2,-45,-61,-60
2,2,-45,-61,-60
2,2,-45,-61,-45
2,2,-45,-43,-45
2,2,-45,-43,-49
2,2,-45,-61,-49
2,2,-45,-58,-49
2,2,-40,-58,-49
2,2,-40,-58,-45
2,2,-40,-47,-45
2,2,-40,-47,-63
2,2,-40,-57,-63
2,2,-55,-57,-63
2,2,-55,-57,-60
2,2,-55,-62,-60
2,2,-55,-62,-45
2,2,-55,-56,-45
2,2,-55,-56,-45
2,2,-55,-61,-45
2,2,-55,-61,-45
2,2,-55,-41,-45
2,2,-55,-41,-45
2,2,-55,-41,-63
2,2,-55,-59,-63
2,2,-44,-59,-63
2,2,-44,-59,-45
2,2,-44,-56,-45
2,2,-44,-47,-45
2,2,-44,-47,-45
2,2,-44,-42,-45
2,2,-44,-42,-59
2,2,-45,-42,-59
2,2,-45,-47,-59
2,2,-55,-47,-59
2,2,-55,-41,-59
2,2,-55,-41,-59
2,2,-55,-41,-61
2,2,-40,-41,-61
2,2,-40,-57,-61
2,2,-41,-57,-61
2,2,-41,-57,-61
2,2,-45,-57,-61
2,2,-45,-62,-61
2,2,-45,-62,-61
2,2,-45,-62,-50
2,2,-59,-62,-50
2,2,-59,-57,-50
2,2,-45,-57,-50
2,2,-45,-42,-50
2,2,-45,-42,-50
2,2,-45,-42,-50
2,2,-45,-43,-50
2,2,-45,-43,-50
2,2,-45,-47,-50
2,2,-45,-47,-45
2,2,-54,-47,-45
2,2,-54,-42,-45
2,2,-54,-41,-45
2,2,-54,-41,-50
2,2,-58,-41,-50
2,2,-58,-61,-50
2,2,-39,-61,-50
2,2,-39,-61,-61
2,2,-39,-59,-61
2,2,-39,-59,-45
2,2,-39,-47,-45
2,2,-39,-47,-45
2,2,-39,-57,-45
2,2,-59,-57,-45
2,2,-59,-61,-45
2,2,-45,-61,-45
2,2,-45,-56,-45
2,2,-45,-56,-45
2,2,-54,-56,-45
2,2,-54,-44,-45
2,2,-45,-44,-45
2,2,-45,-57,-45
2,2,-45,-57,-60
2,2,-45,-57,-45
2,2,-45,-45,-45
2,2,-59,-45,-45
2,2,-40,-45,-45
2,2,-40,-45,-45
2,2,-40,-41,-45
2,2,-59,-41,-45
2,2,-59,-61,-45
2,2,-55,-61,-45
2,2,-55,-61,-45
2,2,-55,-57,-45
2,2,-41,-57,-45
2,2,-41,-57,-45
2,2,-41,-57,-65
2,2,-41,-58,-65
2,2,-41,-58,-65
2,2,-41,-58,-60
2,2,-41,-47,-60
2,2,-55,-47,-60
2,2,-55,-47,-60
2,2,-55,-59,-60
2,2,-44,-59,-60
2,2,-44,-59,-49
2,2,-44,-56,-49
2,2,-42,-56,-49
2,2,-42,-56,-60
2,2,-42,-43,-60
2,2,-41,-43,-60
2,2,-41,-43,-64
2,2,-41,-57,-64
2,2,-55,-57,-64
2,2,-55,-57,-60
2,2,-44,-57,-60
2,2,-44,-57,-45
2,2,-44,-41,-45
2,2,-55,-41,-45
2,2,-55,-41,-45
2,2,-55,-57,-45
